"ID"	"Length"	"Age"	"InR"	"RCra"	"RCXra"	"Beds"	"ACen"	"Nurse"	"AFaS"	"MedAf"	"Region"
"1"	1	7.13	55.7	4.1	9	39.6	279	207	241	60	"No"	"W"
"2"	2	8.82	58.2	1.6	3.8	51.7	80	51	52	40	"No"	"NC"
"3"	3	8.34	56.9	2.7	8.1	74	107	82	54	20	"No"	"S"
"4"	4	8.95	53.7	5.6	18.9	122.8	147	53	148	40	"No"	"W"
"5"	5	11.2	56.5	5.7	34.5	88.9	180	134	151	40	"No"	"NE"
"6"	6	9.76	50.9	5.1	21.9	97	150	147	106	40	"No"	"NC"
"7"	7	9.68	57.8	4.6	16.7	79	186	151	129	40	"No"	"S"
"8"	8	11.18	45.7	5.4	60.5	85.8	640	399	360	60	"Yes"	"NC"
"9"	9	8.67	48.2	4.3	24.4	90.8	182	130	118	40	"No"	"S"
"10"	10	8.84	56.3	6.3	29.6	82.6	85	59	66	40	"No"	"NE"
"11"	11	11.07	53.2	4.9	28.5	122	768	591	656	80	"Yes"	"NE"
"12"	12	8.3	57.2	4.3	6.8	83.8	167	105	59	40	"No"	"S"
"13"	13	12.78	56.8	7.7	46	116.9	322	252	349	57.1	"Yes"	"NE"
"14"	14	7.58	56.7	3.7	20.8	88	97	59	79	37.1	"No"	"NC"
"15"	15	9	56.3	4.2	14.6	76.4	72	61	38	17.1	"No"	"S"
"16"	16	11.08	50.2	5.5	18.6	63.6	387	326	405	57.1	"No"	"S"
"17"	17	8.28	48.1	4.5	26	101.8	108	84	73	37.1	"No"	"W"
"18"	18	11.62	53.9	6.4	25.5	99.2	133	113	101	37.1	"No"	"NE"
"19"	19	9.06	52.8	4.2	6.9	75.9	134	103	125	37.1	"No"	"NC"
"20"	20	9.35	53.8	4.1	15.9	80.9	833	547	519	77.1	"No"	"S"
"21"	21	7.53	42	4.2	23.1	98.9	95	47	49	17.1	"No"	"W"
"22"	22	10.24	49	4.8	36.3	112.6	195	163	170	37.1	"No"	"NC"
"23"	23	9.78	52.3	5	17.6	95.9	270	240	198	57.1	"Yes"	"NE"
"24"	24	9.84	62.2	4.8	12	82.3	600	468	497	57.1	"No"	"S"
"25"	25	9.2	52.2	4	17.5	71.1	298	244	236	57.1	"Yes"	"W"
"26"	26	8.28	49.5	3.9	12	113.1	546	413	436	57.1	"Yes"	"NC"
"27"	27	9.31	47.2	4.5	30.2	101.3	170	124	173	37.1	"No"	"NE"
"28"	28	8.19	52.1	3.2	10.8	59.2	176	156	88	37.1	"No"	"NE"
"29"	29	11.65	54.5	4.4	18.6	96.1	248	217	189	37.1	"No"	"NE"
